Test for backup
LJMD version 1.0
Startup time:      0.005s
Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890135          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447067        -137.30231349
    2300          53.81193894          17.16313902        -154.43944723        -137.27630821
    2400          59.52572193          18.98553111        -156.33952786        -137.35399675
    2500          58.92686579          18.79452793        -156.03041539        -137.23588745
    2600          61.65941060          19.66606401        -156.94491184        -137.27884783
    2700          58.81987813          18.76040457        -156.07031128        -137.30990671
    2800          53.15475435          16.95353218        -154.26693029        -137.31339812
    2900          54.95193320          17.52673640        -154.82877253        -137.30203614
    3000          55.99963582          17.86089766        -155.23428959        -137.37339192
    3100          56.97369972          18.17157211        -155.46229983        -137.29072773
    3200          54.82660947          17.48676481        -154.82425992        -137.33749511
    3300          58.17829031          18.55577227        -155.99088329        -137.43511102
    3400          57.28761483          18.27169429        -155.64132270        -137.36962841
    3500          55.43527353          17.68089619        -155.09613517        -137.41523898
    3600          55.08690980          17.56978674        -155.00142956        -137.43164282
    3700          56.84774717          18.13139996        -155.56340960        -137.43200964
    3800          51.62386365          16.46525968        -153.98191080        -137.51665112
    3900          52.18965985          16.64571850        -154.10777264        -137.46205414
    4000          52.04643809          16.60003839        -153.99306287        -137.39302448
    4100          56.74203145          18.09768228        -155.56861059        -137.47092830
    4200          51.99665463          16.58416012        -154.04235613        -137.45819601
    4300          51.52530560          16.43382492        -153.89636281        -137.46253789
    4400          53.08753081          16.93209145        -154.37558869        -137.44349724
    4500          55.28491291          17.63293917        -154.99811418        -137.36517501
    4600          50.52240811          16.11395410        -153.47852798        -137.36457388
    4700          54.84194086          17.49165471        -154.83669648        -137.34504177
    4800          51.56316096          16.44589876        -153.89692062        -137.45102186
    4900          44.22248111          14.10461333        -151.45643511        -137.35182178
    5000          51.65554424          16.47536410        -153.91135346        -137.43598936
    5100          52.15819570          16.63568311        -154.05942974        -137.42374663
    5200          52.09876156          16.61672679        -153.94236495        -137.32563816
    5300          55.14219375          17.58741937        -154.99559497        -137.40817560
    5400          52.05280993          16.60207067        -154.04519847        -137.44312780
    5500          48.06372408          15.32976500        -152.61277417        -137.28300917
    5600          51.52854863          16.43485927        -153.84768827        -137.41282900
    5700          52.63503225          16.78776854        -154.25095023        -137.46318169
    5800          51.72404088          16.49721087        -153.78408225        -137.28687138
    5900          52.26874764          16.67094328        -153.99738957        -137.32644628
    6000          57.49438311          18.33764234        -155.62552091        -137.28787857
    6100          55.10761644          17.57639105        -154.92602529        -137.34963424
    6200          58.57028010          18.68079611        -156.03155378        -137.35075766
    6300          54.75835109          17.46499403        -154.91666703        -137.45167300
    6400          49.98759606          15.94337757        -153.34410044        -137.40072287
    6500          53.64957150          17.11135246        -154.49718674        -137.38583428
    6600          53.04233048          16.91767496        -154.36158389        -137.44390893
    6700          47.80783380          15.24814965        -152.73517259        -137.48702295
    6800          51.37005010          16.38430669        -153.82860448        -137.44429778
    6900          49.53407985          15.79873009        -153.19142689        -137.39269680
    7000          53.56355031          17.08391629        -154.53903517        -137.45511888
    7100          62.00309085          19.77567969        -157.14613793        -137.37045824
    7200          51.47393355          16.41743997        -153.84230366        -137.42486369
    7300          57.04768895          18.19517073        -155.56987642        -137.37470569
    7400          52.66736287          16.79808029        -154.14472879        -137.34664851
    7500          53.39523712          17.03023336        -154.39752638        -137.36729302
    7600          55.33603169          17.64924334        -155.06995306        -137.42070973
    7700          52.77161464          16.83133104        -154.25661103        -137.42527999
    7800          58.06091143          18.51833467        -155.96340255        -137.44506789
    7900          50.90666974          16.23651307        -153.58297664        -137.34646357
    8000          53.17978332          16.96151509        -154.29003352        -137.32851843
    8100          51.53063527          16.43552480        -153.81769164        -137.38216684
    8200          55.41770175          17.67529173        -155.07352674        -137.39823501
    8300          49.99867638          15.94691160        -153.34510102        -137.39818942
    8400          51.48133090          16.41979933        -153.79415548        -137.37435615
    8500          50.34005697          16.05579381        -153.48547524        -137.42968143
    8600          57.07000424          18.20228811        -155.62831952        -137.42603141
    8700          53.75636825          17.14541493        -154.52405057        -137.37863564
    8800          47.13157875          15.03246034        -152.40260291        -137.37014256
    8900          52.18071745          16.64286635        -154.05237029        -137.40950394
    9000          54.28196133          17.31305110        -154.64857205        -137.33552095
